,Authors,ArticleTitle,JournalTitle,JournalVolume,JournalDate,PUBID,Abstact,DOI
0,"Abdul Rahman Bizri, Hussein H Khachfe, Mohamad Y Fares, Umayya Musharrafieh",,Journal of community health,,2020 Jul 13,PMID: 32661861,"The outbreak of the novel coronavirus disease in 2019 (COVID-19) caused a plethora of challenges worldwide and tested healthcare systems across the six continents. Lebanon had recently faced harsh political and economic crises. We aim to describe the effect of COVID-19 on an already crisis-stricken country. A descriptive analysis of the burden of COVID-19 pandemic on Lebanon was performed. Relevant data on COVID-19 was retrieved from the Lebanese Ministry of Public Health from February 21 till June 13th, 2020. Results obtained were analyzed and a literature review was performed. 1422 confirmed COVID-19 cases were identified and reported in Lebanon by June 13th, 2020, comprising an incidence rate of 208/million persons. There has been a total of 31 deaths thus far, with a reported death rate of 5/million persons. The age group with the highest number of cases was 20-29Â years. Beirut was the district with the highest number of cases (18%). The COVID-19 crisis has impacted the country on a multifactorial level. COVID-19 could not have come at a worse time for Lebanon. The country is on brink of bankruptcy, the healthcare system is struggling for survival and the government is striving to regain the trust of the population.",
1,"Kan Kikuchi, Masaomi Nangaku, Munekazu Ryuzaki, Tomoyuki Yamakawa, Norio Hanafusa, Ken Sakai, Yoshihiko Kanno, Ryoichi Ando, Toshio Shinoda, Hidetomo Nakamoto, Tadao Akizawa",,"Therapeutic apheresis and dialysis : official peer-reviewed journal of the International Society for Apheresis, the Japanese Society for Apheresis, the Japanese Society for Dialysis Therapy",24,,PMID: 32506762,"In Japan, the first case of COVID-19 in dialysis patients was reported on March 1, 2020. A total of 31 cases were reported by April 10, and it increased to 95 by May 15. Thereafter, with the rapid increase in the number of COVID-19 cases in the general population since late March, there was a not surprising increase in the number of COVID-19 cases in dialysis patients. The mortality rate is 16.2% (16/99 cases) in dialysis patients, which is higher than 5.3% (874/16 532 cases) in the general population. This higher mortality rate in dialysis patients with COVID-19 might be related to their age; the majority of COVID-19 cases are aged between 70 and 90 years old in dialysis patients, compared with between 20 and 60 years old in the general population. As COVID-19 presents with severe symptoms and is associated with a high mortality rate in dialysis patients, dialysis patients who have contracted severe acute respiratory syndrome coronavirus 2 infection confirmed by polymerase chain reaction testing are required to be hospitalized under Japanese government policy. In cases of COVID-19 hospitalizations, it is essential to prevent nosocomial infection. Therefore, patients must be sufficiently instructed in infection prevention and robust measures to prevent contraction and spread of the infection must be taken at dialysis facilities.",
2,"Esther E Freeman, Devon E McMahon, Jules B Lipoff, Misha Rosenbach, Carrie Kovarik, Junko Takeshita, Lars E French, Bruce H Thiers, George J Hruza, Lindy P Fox",,Journal of the American Academy of Dermatology,83,,PMID: 32479979,Increasing evidence suggests pernio-like lesions are cutaneous manifestations of coronavirus infectious disease 2019 (COVID-19).,DOI 10.1016/j.jaad.2020.05.109.
3,"Marijana Tadic, Cesare Cuspidi, Giuseppe Mancia, Raffaella Dell'Oro, Guido Grassi",,Pharmacological research,158,,PMID: 32461198,"The coronavirus disease (COVID-19) has spread all around the world in a very short period of time. Recent data are showing significant prevalence of arterial hypertension and cardiovascular diseases (CVD) among patients with COVID-19, which raised many questions about higher susceptibility of patients with these comorbidities to the novel coronavirus, as well as the role of hypertension and CVD in progression and the prognosis of COVID-19 patients. There is a very limited amount of data, usually obtained from a small population, regarding the effect of the underlying disease on the outcome in patients with COVID-19. The evaluation of the treatment of these comorbidities at baseline and during COVID-19 is scarce and the results are conflicting. Hypertension and CVD, after the adjustment for other clinical and demographic parameters, primarily age, did not remain independent predictors of the lethal outcome in COVID-19 patients. Some investigations speculated about the association between the renin-angiotensin-aldosterone system (RAAS) and susceptibility to COVID-19, as well as the relationship between RAAS inhibitors and the adverse outcome in these patients. Withdrawing or switching RAAS inhibitors would have uncertain benefits, but it would definitely have many disadvantages such as uncontrolled hypertension, cardiac function deterioration and renal function impairment, which could potentially induce more complications in patients with COVID-19 than the infection of coronavirus itself. The aim of this review article was to summarize the prevalence of hypertension and CVD in patients with COVID-19, their influence on the outcome and the effect of treatment of hypertension and CVD in COVID-19 patients.",DOI 10.1016/j.phrs.2020.104906.
4,"Jamie S Hirsch, Jia H Ng, Daniel W Ross, Purva Sharma, Hitesh H Shah, Richard L Barnett, Azzour D Hazzan, Steven Fishbane, Kenar D Jhaveri",,Kidney international,98,,PMID: 32416116,"The rate of acute kidney injury (AKI) associated with patients hospitalized with Covid-19, and associated outcomes are not well understood. This study describes the presentation, risk factors and outcomes of AKI in patients hospitalized with Covid-19. We reviewed the health records for all patients hospitalized with Covid-19 between March 1, and April 5, 2020, at 13 academic and community hospitals in metropolitan New York. Patients younger than 18 years of age, with end stage kidney disease or with a kidney transplant were excluded. AKI was defined according to KDIGO criteria. Of 5,449 patients admitted with Covid-19, AKI developed in 1,993 (36.6%). The peak stages of AKI were stage 1 in 46.5%, stage 2 in 22.4% and stage 3 in 31.1%. Of these, 14.3% required renal replacement therapy (RRT). AKI was primarily seen in Covid-19 patients with respiratory failure, with 89.7% of patients on mechanical ventilation developing AKI compared to 21.7% of non-ventilated patients. 276/285 (96.8%) of patients requiring RRT were on ventilators. Of patients who required ventilation and developed AKI, 52.2% had the onset of AKI within 24 hours of intubation. Risk factors for AKI included older age, diabetes mellitus, cardiovascular disease, black race, hypertension and need for ventilation and vasopressor medications. Among patients with AKI, 694 died (35%), 519 (26%) were discharged and 780 (39%) were still hospitalized. AKI occurs frequently among patients with Covid-19 disease. It occurs early and in temporal association with respiratory failure and is associated with a poor prognosis.",DOI 10.1016/j.kint.2020.05.006.
5,"Anna Maria Musolino, Maria Chiara Supino, Danilo Buonsenso, Valentina Ferro, Piero Valentini, Andrea Magistrelli, Mary Haywood Lombardi, Lorenza Romani, Patrizia D'Argenio, Andrea Campana",,Ultrasound in medicine & biology,46,,PMID: 32409232,"Recent evidence indicates the usefulness of lung ultrasound (LUS) in detecting coronavirus disease 19 (COVID-19) pneumonia. However, no data are available on the use of LUS in children with COVID-19 pneumonia. In this report, we describe LUS features of 10 consecutively admitted children with COVID-19 in two tertiary-level pediatric hospitals in Rome. LUS revealed signs of lung involvement during COVID-19 infection. In particular, vertical artifacts (70%), pleural irregularities (60%), areas of white lung (10%) and subpleural consolidations (10%) were the main findings in patients with COVID-19. No cases of pleural effusions were found. According to our experience, the routine use of LUS in the evaluation of children with suspected or confirmed COVID-19, when performed by clinicians with documented experience in LUS, was useful in diagnosing and monitoring pediatric COVID-19 pneumonia, reducing unnecessary radiation/sedation in children and exposure of health care workers to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2).",DOI 10.1016/j.ultrasmedbio.2020.04.026.
6,"Kazuo Imai, Sakiko Tabata, Mayu Ikeda, Sakiko Noguchi, Yutaro Kitagawa, Masaru Matuoka, Kazuyasu Miyoshi, Norihito Tarumoto, Jun Sakai, Toshimitsu Ito, Shigefumi Maesaki, Kaku Tamura, Takuya Maeda",,Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology,128,,PMID: 32387968,We evaluated the clinical performance of an immunochromatographic (IC) IgM/IgG antibody assay for severe acute respiratory syndrome coronavirus 2 (SARS-CoV2) and chest computed tomography (CT) for the diagnosis of Coronavirus disease 2019 (COVID-19).,DOI 10.1016/j.jcv.2020.104393.
7,"Dominique Salmon, Sophie Bartier, Charlotte Hautefort, Yann Nguyen, Jérôme Nevoux, Anne-Laure Hamel, Yohan Camhi, Florence Canouï-Poitrine, Benjamin Verillaud, Dorsaf Slama, Stephanie Haim-Boukobza, Elise Sourdeau, Delphine Cantin, Alain Corré, Agnes Bryn, Nicolas Etienne, Flore Rozenberg, Richard Layese, Jean-François Papon, Emilie Bequignon",,The Journal of infection,,2020 Jul 07,PMID: 32650110,To determine the frequency of SARS-CoV-2 positive samples in a subset of patients consulting for primarily isolated acute (<7 days) loss of smell and to assess the diagnostic accuracy of olfactory/gustatory dysfunction for COVID-19 diagnosis in the overall population tested for COVID-19 in the same period.,DOI 10.1016/j.jinf.2020.07.005.
8,"Wenjing Ye, Guoxi Chen, Xiaopan Li, Xing Lan, Chen Ji, Min Hou, Di Zhang, Guangwang Zeng, Yaling Wang, Cheng Xu, Weiwei Lu, Ruolin Cui, Yuyang Cai, Hai Huang, Ling Yang",,Respiratory research,21,2020 Jul 03,PMID: 32620118,"Since December 2019, the outbreak of COVID-19 caused a large number of hospital admissions in China. Many patients with COVID-19 have symptoms of acute respiratory distress syndrome, even are in danger of death. This is the first study to evaluate dynamic changes of D-Dimer and Neutrophil-Lymphocyte Count Ratio (NLR) as a prognostic utility in patients with COVID-19 for clinical use.",
9,"Niccolò Parri, Anna Maria Magistà, Federico Marchetti, Barbara Cantoni, Alberto Arrighini, Marta Romanengo, Enrico Felici, Antonio Urbino, Liviana Da Dalt, Lucio Verdoni, Benedetta Armocida, Benedetta Covi, Ilaria Mariani, Roberta Giacchero, Anna Maria Musolino, Marco Binotti, Paolo Biban, Silvia Fasoli, Chiara Pilotto, Flavia Nicoloso, Massimiliano Raggi, Elisabetta Miorin, Danilo Buonsenso, Massimo Chiossi, Rino Agostiniani, Anna Plebani, Maria Antonietta Barbieri, Marcello Lanari, Serena Arrigo, Elena Zoia, Matteo Lenge, Stefano Masi, Egidio Barbi, Marzia Lazzerini",,European journal of pediatrics,179,,PMID: 32495147,"Detailed data on clinical presentations and outcomes of children with COVID-19 in Europe are still lacking. In this descriptive study, we report on 130 children with confirmed COVID-19 diagnosed by 28 centers (mostly hospitals), in 10 regions in Italy, during the first months of the pandemic. Among these, 67 (51.5%) had a relative with COVID-19 while 34 (26.2%) had comorbidities, with the most frequent being respiratory, cardiac, or neuromuscular chronic diseases. Overall, 98 (75.4%) had an asymptomatic or mild disease, 11 (8.5%) had moderate disease, 11 (8.5%) had a severe disease, and 9 (6.9%) had a critical presentation with infants below 6 months having significantly increased risk of critical disease severity (OR 5.6, 95% CI 1.3 to 29.1). Seventy-five (57.7%) children were hospitalized, 15 (11.5%) needed some respiratory support, and nine (6.9%) were treated in an intensive care unit. All recovered.Conclusion:This descriptive case series of children with COVID-19, mostly encompassing of cases enrolled at hospital level, suggest that COVID-19 may have a non-negligible rate of severe presentations in selected pediatric populations with a relatively high rates of comorbidities. More studies are needed to further understand the presentation and outcomes of children with COVID-19 in children with special needs. What is Known: • There is limited evidence on the clinical presentation and outcomes of children with COVID-19 in Europe, and almost no evidence on characteristics and risk factors of severe cases. What is New: • Among a case series of 130 children, mostly diagnosed at hospital level, and with a relatively high rate (26.2%) of comorbidities, about three-quarter had an asymptomatic or mild disease. • However, 57.7% were hospitalized, 11.5% needed some respiratory support, and 6.9% were treated in an intensive care unit.",
