,Authors,ArticleTitle,JournalTitle,JournalVolume,JournalDate,PUBID,Abstact,DOI
0,"Kai Kang, Fucun Xie, Jinzhu Mao, Yi Bai, Xiang Wang",Significance of Tumor Mutation Burden in Immune Infiltration and Prognosis in Cutaneous Melanoma.,,10,,PMID: 33072607,"Background: Melanoma is highly immunogenic and therefore suitable for immunotherapy, but the efficacy is limited by response rate. In several types of tumor, tumor mutation burden (TMB) and immune infiltration have been reported to predict the response to immunotherapy, although each has its limitations. In the current study, we aimed to explore the association of TMB with immune infiltration and prognosis in cutaneous melanoma. Methods: The data of cutaneous melanoma used for analyses was downloaded from The Cancer Genome Atlas (TCGA) database. The mutation data was sorted using ""maftools"" R package. TMB was estimated and then patients were divided into two groups based on TMB. The association of TMB with prognosis and clinical characteristics was explored. Differential analysis between two TMB groups was performed using ""DESeq2"" R package to identify differentially expressed genes (DEGs). The function enrichment analyses of DEGs were conducted to screen critical pathways. Besides, DEGs were further filtered to identify two hub genes, based on which a risk score model and nomogram for predicting prognosis were conducted, and the validation was performed using three datasets from Gene Expression Omnibus (GEO) database. Finally, CIBERSORT algorithm and TIMER database were used to assess the effect of TMB and hub genes on immune infiltration. Results: The most common mutation was C > T, and the top three frequently mutated genes were TTN, MUC16, and BRAF. Higher TMB indicated better survival outcomes and lower pathological stages. 735 DEGs were identified and mainly involved in immune-related and adhesion-related pathways. The risk score model and nomogram were validated using receiver operating characteristic (ROC) curves and calibration curves, and exhibited relatively high predictive capability. Decision curve analysis (DCA) was used to assess clinical benefit. As for immune infiltration, the proportion was higher for macrophages M1 and M2 in the high-TMB group, while lower for memory B cells and regulatory T cells. Conclusions: In cutaneous melanoma, TMB was positively correlated with prognosis. The risk score model and nomogram can be conveniently used to predict prognosis. The association of TMB with immune infiltration can help improve the predicting methods for the response to immunotherapy.",
1,"Rui-Lian Chen, Jing-Xu Zhou, Yang Cao, Ling-Ling Sun, Shan Su, Xiao-Jie Deng, Jie-Tao Lin, Zhi-Wei Xiao, Zhuang-Zhong Chen, Si-Yu Wang, Li-Zhu Lin",Construction of a Prognostic Immune Signature for Squamous-Cell Lung Cancer to Predict Survival.,,11,,PMID: 33072067,Limited treatment strategies are available for squamous-cell lung cancer (SQLC) patients. Few studies have addressed whether immune-related genes (IRGs) or the tumor immune microenvironment can predict the prognosis for SQLC patients. Our study aimed to construct a signature predict prognosis for SQLC patients based on IRGs.,
2,"Rui Li, Xiao Liu, Xi-Jia Zhou, Xiao Chen, Jian-Ping Li, Yun-Hong Yin, Yi-Qing Qu",Identification and validation of the prognostic value of immune-related genes in non-small cell lung cancer.,,12,,PMID: 33042464,"Immune-related genes play a significant role in predicting the overall survival and monitoring the status of the cancer immune microenvironment. The aim of this research study was to identify differentially expressed immune-related genes (DEIRGs) and establish a Cox prediction model for the evaluation of prognosis in patients with non-small cell lung cancer (NSCLC). Transcription expression data, immune gene data, and tumor transcription factor data from The Cancer Genome Atlas (TCGA), the Immunology Database and Analysis Portal, and the Cistrome Cancer database were analyzed to detect differentially expressed genes (DEGs), DEIRGs, and differentially expressed transcription factors (DETFs). Multivariate Cox regression analysis was used to obtain potential DEIRGs as independent prognostic factors. Oncomine, The Human Protein Atlas (HPA), TIMER databases were performed to validate the mRNA and protein expression level of DEIRGs. TIMER database was performed to explore the immunocytes infiltration of DEIRGs. In total, 7448 DEGs, 536 DEIRGs, 87 DETFs were identified from 1,037 NSCLC tissues and 108 normal tissues in TCGA database. Fifteen-DEIRG signatures (THBS1, S100P, S100A16, DLL4, CD70, DKK1, IL33, NRTN, PDGFB, STC2, VGF, GCGR, HTR3A, LGR4, SHC3) could be perceived as independent prognostic factors for predicting the overall survival of patients with NSCLC (P = 4.89e--09). Immune cell correlation analysis showed that neutrophils and b cells were positively and negatively correlated with the riskscore of the prediction model, respectively. Our study identified a Cox prediction model based on DEIRGs to predict the overall survival of patients with NSCLC. The immunocyte infiltration analysis provided a novel horizon for monitoring the status of the NSCLC immune microenvironment.",
3,"Rui Li, Xiao Liu, Xi-Jia Zhou, Xiao Chen, Jian-Ping Li, Yun-Hong Yin, Yi-Qing Qu",Identification of a Prognostic Model Based on Immune-Related Genes of Lung Squamous Cell Carcinoma.,,10,,PMID: 33014809,"Immune-related genes (IRGs) play considerable roles in tumor immune microenvironment (IME). This research aimed to discover the differentially expressed immune-related genes (DEIRGs) based on the Cox predictive model to predict survival for lung squamous cell carcinoma (LUSC) through bioinformatics analysis. First of all, the differentially expressed genes (DEGs) were acquired based on The Cancer Genome Atlas (TCGA) using the limma R package, the DEIRGs were obtained from the ImmPort database, whereas the differentially expressed transcription factors (DETFs) were acquired from the Cistrome database. Thereafter, a TFs-mediated IRGs network was constructed to identify the candidate mechanisms for those DEIRGs in LUSC at molecular level. Moreover, Gene Ontology (GO), together with Kyoto Encyclopedia of Genes and Genomes (KEGG) pathway enrichment analysis, was conducted for exploring those functional enrichments for DEIRGs. Besides, univariate as well as multivariate Cox regression analysis was conducted for establishing a prediction model for DEIRGs biomarkers. In addition, the relationship between the prognostic model and immunocytes was further explored through immunocyte correlation analysis. In total, 3,599 DEGs, 223 DEIRGs, and 46 DETFs were obtained from LUSC tissues and adjacent non-carcinoma tissues. According to multivariate Cox regression analysis, 10 DEIRGs (including CALCB, GCGR, HTR3A, AMH, VGF, SEMA3B, NRTN, ENG, ACVRL1, and NR4A1) were retrieved to establish a prognostic model for LUSC. Immunocyte infiltration analysis showed that dendritic cells and neutrophils were positively correlated with IRGs, which possibly exerted an important part within the IME of LUSC. Our study identifies a prognostic model based on IRGs, which is then used to predict LUSC prognosis and analyze immunocyte infiltration. This may provide a novel insight for exploring the potential IRGs in the IME of LUSC.",
4,"Xinyu Li, Dacheng Wen, Xiaokang Li, Chunli Yao, Wei Chong, Hao Chen",Identification of an Immune Signature Predicting Prognosis Risk and Lymphocyte Infiltration in Colon Cancer.,,11,,PMID: 33013820,"Increasing studies have highlighted the effects of the tumor immune micro-environment (TIM) on colon cancer (CC) tumorigenesis, prognosis, and metastasis. However, there is no reliable molecular marker that can effectively estimate the immune infiltration and predict the CC relapse risk. Here, we leveraged the gene expression profile and clinical characteristics from 1430 samples, including four gene expression omnibus database (GEO) databases and the cancer genome atlas (TCGA) database, to construct an immune risk signature that could be used as a predictor of survival outcome and immune activity. A risk model consisting of 10 immune-related genes were screened out in the Lasso-Cox model and were then aggregated to generate the immune risk signature based on the regression coefficients. The signature demonstrated robust prognostic ability in discovery and validation datasets, and this association remained significant in the multivariate analysis after controlling for age, gender, clinical stage, or microsatellite instability status. Leukocyte subpopulation analysis indicated that the low-risk signature was enriched with cytotoxic cells (activated CD4/CD8+ T cell and NK cell) and depleted of myeloid-derived suppressor cells (MDSC) and regulatory T cells. Further analysis indicated patients with a low-risk signature harbored higher tumor mutation loads and lower mutational frequencies in significantly mutated genes of APC and FBXW7. Together, our constructed signature could predict prognosis and represent the TIM of CC, which promotes individualized treatment and provides a promising novel molecular marker for immunotherapy.",
5,"Denggang Fu, Biyu Zhang, Lei Yang, Shaoxin Huang, Wang Xin",Development of an Immune-Related Risk Signature for Predicting Prognosis in Lung Squamous Cell Carcinoma.,,11,,PMID: 33005178,"Lung squamous cell carcinoma (LSCC) is the most common subtype of non-small cell lung cancer. Immunotherapy has become an effective treatment in recent years, while patients showed different responses to the current treatment. It is vital to identify the potential immunogenomic signatures to predict patient' prognosis. The expression profiles of LSCC patients with the clinical information were downloaded from TCGA database. Differentially expressed immune-related genes (IRGs) were extracted using edgeR algorithm, and functional enrichment analysis showed that these IRGs were primarily enriched in inflammatory- and immune-related processes. ""Cytokine-cytokine receptor interaction"" and ""PI3K-AKT signaling pathway"" were the most enriched KEGG pathways. 27 differentially expressed IRGs were significantly correlated with the overall survival (OS) of patients using univariate Cox regression analysis. A prognostic risk signature that comprises seven IRGs (GCCR, FGF8, CLEC4M, PTH, SLC10A2, NPPC, and FGF4) was developed with effective predictive performance by multivariable Cox stepwise regression analysis. Most importantly, the signature could be an independent prognostic predictor after adjusting for clinicopathological parameters, and also validated in two independent LSCC cohorts (GSE4573 and GSE17710). Potential molecular mechanisms and tumor immune landscape of these IRGs were investigated through computational biology. Analysis of tumor infiltrating lymphocytes and immune checkpoint molecules revealed distinct immune landscape in high- and low-risk group. The study was the first time to construct IRG-based immune signature in the recognition of disease progression and prognosis of LSCC patients.",
6,"Wenliang Yuan, Wei Cai, Xiao Huang, Sihua Peng",Prognostic value of immune scores in the microenvironment of colorectal cancer.,,20,,PMID: 32994819,"Cancer immunotherapy has become an important means of cancer treatment; however, the complex composition and heterogeneity of the colorectal cancer (CRC) microenvironment pose a huge challenge to cancer immunotherapy. Using data downloaded from The Cancer Genome Atlas database, the differences in the microenvironment between cases with low and high immune scores were examined at the multiomics level using bioinformatics approaches. It was revealed that the samples with high immune scores had good cytolytic immune responses and relatively abundant stromal cells, as well as significant infiltration of 22 immune cell subsets and a high non-synonymous mutation burden and neoantigen burden. All of these characteristics contribute to a good prognosis. To better understand the impact of immune-related genes on prognosis, differentially expressed genes between the low and high immune score samples were identified and it was concluded that serpin family Emember 1 (SERPINE1) and ubiquitin C-terminal hydrolase L1 (UCHL1) may be potential therapeutic targets. The relationship between the immune score and the infiltration of 22 immune cells and the difference in SERPINE1 expression were verified by analyzing the GSE17536 and GSE21510 data sets downloaded from the Gene Expression Omnibus database. The present study analyzed the unique properties of immune cells in the CRC microenvironment, which are of great significance for understanding CRC immune mechanism and may also provide novel ideas for the targeted design of cancer immunotherapy.",
7,"Han Wang, Meng-Sen Wang, Ying Wang, Yue-Qing Huang, Jian-Ping Shi, Zhi-Liang Ding, Wen-Jie Wang",Prognostic value of immune related genes in lung adenocarcinoma.,,20,,PMID: 32989393,"Lung cancer has the highest incidence and mortality rates of all cancers in China. Immune-related genes and immune infiltrating lymphocytes are involved in tumor growth, and in the past decade, immunotherapy has become increasingly important in the treatment of lung cancer. Using the edgeR package, differentially expressed genes and immune-related genes (DEIRGs) were identified in patients with lung adenocarcinoma (LUAD). Functional enrichment analysis of DEIRGs was performed using Gene Ontology annotation and Kyoto Encyclopedia of Genes and Genomes (KEGG) pathway analyses. Survival-associated immune-related genes (IRGs) were selected using univariate Cox regression analysis and the prognostic model was assessed using multivariate Cox regression analysis. Overall, 273 DEIRGs were identified in LUAD, and KEGG pathway analysis of IRGs showed that 'cytokine-cytokine receptor interaction' was the most significantly enriched pathway. Furthermore, six survival associated IRGs were screened to establish a prognostic model; patients in the high risk score group had less favorable survival times, and the prognostic model was negatively associated with B cell infiltration. The present study established a prognostic model using analysis of survival-related immune-related genes, which were associated with B cell infiltration.",
8,"Shiqi Ren, Wei Wang, Hanyu Shen, Chenlin Zhang, Haiyan Hao, Mengjing Sun, Yingjing Wang, Xiaojing Zhang, Bing Lu, Chen Chen, Ziheng Wang",Development and Validation of a Clinical Prognostic Model Based on Immune-Related Genes Expressed in Clear Cell Renal Cell Carcinoma.,,10,,PMID: 32983989,"Background: Clear cell renal cell carcinoma (ccRCC) is the most frequent and terminal subtype of RCC. Reliable markers associated with the immune response are not available to predict the prognosis of patients with ccRCC. We exploited the extensive number of ccRCC samples from The Cancer Genome Atlas (TCGA) and Gene Expression Omnibus (GEO) repository to perform a comprehensive analysis of immune-related genes (IRGs). Methods: Based on TCGA data, we incorporated IRGs and their expression profiles of 72 normal and 539 ccRCC samples. Univariate Cox analysis was used to evaluate the relationship between overall survival (OS) and IRGs expression. The Lasso Cox regression model identified prognostic genes used to establish a clinical immune prognostic model. The TF-IRG network was used to study the potential molecular mechanisms of action and properties of ccRCC-specific IRGs. Multivariate Cox analysis established a clinical prognostic model of IRGs. Results: We found a significant correlation among 15 differentially expressed IRGs with the OS of patients with ccRCC. Gene function enrichment analysis showed that these IRGs are significantly associated with response to receptor ligand activity. Lasso Cox regression analysis identified 10 genes with the greatest prognostic value. A clinical prognostic model based on six IRGs, which performed well for predicting prognosis, revealed significant associations of patients' survival with age, sex, stage, tumor, node, and metastasis. Moreover, these findings reflect the infiltration of tumors by various immune cells. Conclusion: We identified six clinically significant IRGs and incorporated them into a clinical prognostic model with great significance for monitoring and predicting prognosis of ccRCC.",
9,"Wen Yin, Xingjun Jiang, Jun Tan, Zhaoqi Xin, Quanwei Zhou, Chaohong Zhan, Xianyong Fu, Zhaoping Wu, Youwei Guo, Zhipeng Jiang, Caiping Ren, Guihua Tang",Development and Validation of a Tumor Mutation Burden-Related Immune Prognostic Model for Lower-Grade Glioma.,,10,,PMID: 32974146,"Tumor mutation burden (TMB) is a useful biomarker to predict prognosis and the efficacy of immune checkpoint inhibitors (ICIs). In this study, we aimed to explore the prognostic value of TMB and the potential association between TMB and immune infiltration in lower-grade gliomas (LGGs). Somatic mutation and RNA-sequencing (RNA-seq) data were downloaded from the Cancer Genome Atlas (TCGA) database. TMB was calculated and patients were divided into high- and low-TMB groups. After performing differential analysis between high- and low-risk groups, we identified six hub TMB and immune-related genes that were correlated with overall survival in LGGs. Then, Gene Set Enrichment Analysis was performed to screen significantly enriched GO terms between the two groups. Moreover, an immune-related risk score system was developed by LASSO Cox analysis based on the six hub genes and was validated with the Chinese Glioma Genome Atlas dataset. Using the TIMER database, we further systematically analyzed the relationships between mutants of the six hub genes and immune infiltration levels, as well as the relationships between the immune-related risk score system and the immune microenvironment in LGGs. The results showed that TMB was negatively correlated with OS and high TMB might inhibit immune infiltration in LGGs. Furthermore, the risk score system could effectively stratify patients into low- and high-risk groups in both the training and validation datasets. Multivariate Cox analysis demonstrated that TMB was not an independent prognostic factor, but the risk score was. Higher infiltration of immune cells (B cells, CD4+ T cells, CD8+ T cells, neutrophils, macrophages, and dendritic cells) and higher levels of immune checkpoints (PD-1, CTLA-4, LAG-3, and TIM-3) were found in patients in the high-risk group. Finally, a novel nomogram model was constructed and evaluated to estimate the overall survival of LGG patients. In summary, our study provided new insights into immune infiltration in the tumor microenvironment and immunotherapies for LGGs.",
